X,Y,Z
2.440065E-07,1.856076,-3.352761E-08
2.440065E-07,1.848228,-3.352761E-08
2.440065E-07,1.188996,-3.352761E-08
-4.398031E-05,0.8850869,-2.397969E-05
-0.0001318404,0.822116,0.001484465
-0.0002702791,0.8799816,-0.001557823
0.001643246,0.8908448,-0.00664039
0.002942631,0.8995053,-0.01016762
0.004087579,0.9061988,-0.01240325
0.004996719,0.9112937,-0.01367255
0.005654812,0.9146303,-0.01406345
0.006090042,0.9159489,-0.01352903
0.006387795,0.9151884,-0.01208822
0.006000452,0.9134948,-0.01025668
0.005522759,0.9120324,-0.008587178
0.005129318,0.9107082,-0.007110268
0.004807969,0.9095348,-0.005830839
0.004549476,0.9085176,-0.004743535
0.004345232,0.9076555,-0.0038369
0.004187189,0.9069418,-0.003095642
0.004067932,0.9063667,-0.002502304
0.003980769,0.9059176,-0.002038579
0.003919745,0.9055803,-0.001686268
0.003848369,0.9050667,-0.001033664
0.003870559,0.905171,-0.001055259
0.003884565,0.9052498,-0.00109081
0.003899006,0.9053373,-0.001135267
0.00391311,0.9054282,-0.00118446
0.003926311,0.9055187,-0.001235113
0.00393823,0.9056054,-0.001284853
0.003948632,0.9056863,-0.001331996
0.003957395,0.90576,-0.001375392
0.003964479,0.9058257,-0.001414385
0.003970035,0.9058756,-0.001046795
0.0039717,0.9059289,-0.001179975
0.003973833,0.9059844,-0.0005577169
0.003975838,0.9060394,0.0002145097
0.003976496,0.9060917,0.001894124
0.003978565,0.9061388,0.004077066
0.003978951,0.9062117,0.006699201
0.003975316,0.9062904,0.01015776
0.003970265,0.9063666,0.01467534
0.003966042,0.906445,0.02028277
0.003961078,0.9065365,0.0268758
0.003955575,0.9066339,0.03465904
0.00394968,0.9067358,0.04371343
0.003943429,0.9068413,0.0541469
0.003936844,0.9069497,0.06604939
0.003929959,0.9070598,0.07950447
0.00398557,0.907171,0.0945561
0.004139758,0.9072809,0.1112133
0.004423817,0.9073865,0.1294758
0.004864953,0.9074851,0.1493421
0.005508447,0.9075748,0.1708074
0.00639281,0.9076537,0.1938658
0.007566697,0.9077213,0.2185082
0.009049906,0.907777,0.2447293
0.0108936,0.907821,0.2725171
0.01311372,0.9078536,0.3018658
0.01574612,0.907876,0.3327649
0.01882232,0.9078889,0.365204
0.02238726,0.9078938,0.399168
0.02647344,0.9078918,0.4346441
0.03113745,0.907884,0.4716109
0.03640481,0.9078711,0.5100557
0.04229166,0.9078541,0.54997
0.04873689,0.9078339,0.5913759
0.05571729,0.9078125,0.6342837
0.06322023,0.9077916,0.6786983
0.07123845,0.9077721,0.7246224
0.07976843,0.9077547,0.772057
0.08880973,0.9077401,0.8210024
0.1084377,0.9077182,0.9234213
0.1190362,0.9077109,0.976891
0.1300553,0.9077052,1.031908
