Time,OnCollider,CollisionCount
0.35,0,0
0.47,0,0
0.57,0,0
0.68,0,0
0.78,0,0
0.88,0,0
0.98,0,0
1.08,0,0
1.18,0,0
1.29,0,0
1.39,0,0
1.49,0,0
1.59,0,0
1.69,0,0
1.80,0,0
1.90,0,0
2.00,0,0
2.10,0,0
2.21,0,0
2.31,0,0
2.41,0,0
2.52,0,0
2.62,0,0
2.72,0,0
2.82,0,0
2.93,0,0
3.03,0,0
3.13,0,0
3.24,0,0
3.34,0,0
3.44,0,0
3.55,0,0
3.65,0,0
3.75,0,0
3.86,0,0
3.96,0,0
4.06,0,0
4.16,0,0
4.26,0,0
4.37,0,0
4.47,0,0
4.57,0,0
4.67,0,0
4.77,0,0
4.87,0,0
4.97,0,0
5.07,0,0
5.18,0,0
5.28,0,0
5.38,0,0
5.48,0,0
5.58,0,0
5.69,0,0
5.79,0,0
5.90,0,0
6.00,0,0
6.10,0,0
6.21,0,0
6.31,0,0
6.41,0,0
6.51,0,0
6.61,0,0
6.71,0,0
6.82,0,0
6.92,0,0
7.02,0,0
7.13,0,0
7.23,0,0
7.33,0,0
7.43,0,0
7.54,0,0
7.64,0,0
7.74,0,0
7.84,1,1
7.94,1,1
8.04,1,1
8.15,1,1
8.25,1,1
8.35,1,1
8.45,1,1
8.55,1,1
8.65,1,1
8.75,1,1
8.86,1,1
8.96,1,1
9.06,1,1
9.16,1,1
9.26,1,1
9.36,1,1
9.46,1,1
9.57,1,1
9.67,1,1
9.77,1,1
9.87,1,1
9.98,1,1
10.08,1,1
10.18,1,1
10.28,1,1
10.38,1,1
10.48,1,1
10.59,1,1
10.69,0,1
10.79,0,1
10.89,0,1
11.00,0,1
11.10,0,1
11.20,0,1
11.30,0,1
11.40,0,1
11.50,0,1
11.61,0,1
11.71,0,1
11.81,0,1
11.91,0,1
12.01,0,1
12.11,0,1
12.22,0,1
12.32,0,1
12.42,0,1
12.52,0,1
12.62,0,1
12.73,0,1
12.83,0,1
12.93,0,1
13.03,0,1
13.13,0,1
13.24,0,1
13.34,0,1
13.44,0,1
13.54,0,1
13.64,0,1
13.74,0,1
13.84,0,1
13.95,0,1
14.05,0,1
14.15,0,1
14.25,0,1
14.35,0,1
14.45,0,1
14.55,0,1
14.66,0,1
14.76,0,1
14.86,0,1
14.96,0,1
15.07,0,1
15.17,0,1
15.27,0,1
15.37,0,1
15.47,0,1
15.57,0,1
15.68,0,1
15.78,0,1
15.89,0,1
15.99,0,1
16.10,0,1
16.20,0,1
16.30,0,1
16.40,0,1
16.50,0,1
16.60,0,1
16.71,0,1
16.81,0,1
16.91,0,1
17.01,0,1
17.11,0,1
17.22,0,1
17.32,0,1
17.42,0,1
17.53,0,1
17.63,0,1
17.73,0,1
17.83,0,1
17.93,0,1
18.03,0,1
18.13,0,1
18.23,0,1
18.33,0,1
18.44,0,1
18.54,0,1
18.64,0,1
18.74,0,1
18.85,0,1
18.95,0,1
19.05,0,1
19.15,0,1
19.25,0,1
19.36,0,1
19.46,0,1
19.56,0,1
19.66,0,1
19.77,0,1
19.87,0,1
19.97,0,1
20.07,0,1
20.17,0,1
20.28,0,1
20.38,0,1
20.48,0,1
20.59,0,1
20.69,0,1
20.79,0,1
20.89,0,1
20.99,0,1
21.09,0,1
21.20,0,1
21.30,0,1
21.40,0,1
21.50,0,1
21.60,0,1
21.71,0,1
21.81,0,1
21.91,0,1
22.02,0,1
22.12,0,1
22.23,0,1
22.33,0,1
22.43,0,1
22.53,0,1
22.63,0,1
22.73,0,1
22.84,0,1
22.94,0,1
23.04,0,1
23.14,0,1
23.24,0,1
23.34,0,1
23.45,0,1
23.55,0,1
23.65,0,1
23.75,0,1
23.86,0,1
23.96,0,1
24.06,0,1
24.16,0,1
24.26,0,1
24.37,0,1
24.47,0,1
24.57,0,1
24.68,0,1
24.78,0,1
24.88,0,1
24.98,0,1
25.08,0,1
25.19,0,1
25.29,0,1
25.39,0,1
25.50,0,1
25.60,0,1
25.70,0,1
25.81,0,1
25.91,0,1
26.01,0,1
