Time,OnCollider
0.35,0
0.45,0
0.56,0
0.66,0
0.76,0
0.87,0
0.97,0
1.07,0
1.17,0
1.28,0
1.38,0
1.48,0
1.59,0
1.69,0
1.79,0
1.89,0
2.00,0
2.10,0
2.20,0
2.30,0
2.40,0
2.51,0
2.61,0
2.71,0
2.82,0
2.92,0
3.02,0
3.13,0
3.23,0
3.33,0
3.44,0
3.54,0
3.64,0
3.75,0
3.85,0
3.96,0
4.06,1
4.16,1
4.27,1
4.37,1
4.47,1
4.57,1
4.68,1
4.78,1
4.88,1
4.98,1
5.08,1
5.19,1
5.29,1
5.39,1
5.49,1
5.59,1
5.70,1
5.80,1
5.90,1
6.00,0
6.10,0
6.20,0
6.30,0
6.41,0
6.51,0
6.61,0
6.71,0
6.81,0
6.92,0
7.02,0
7.12,0
7.22,0
7.33,1
7.43,1
7.53,1
7.63,1
7.73,1
7.84,1
7.94,1
8.04,1
8.14,1
8.25,1
8.35,1
8.45,1
8.56,1
8.66,1
8.76,1
8.86,1
8.96,1
9.06,1
9.17,1
9.27,1
9.37,1
9.47,1
9.57,1
9.68,0
9.78,0
9.88,0
9.99,0
10.09,0
10.19,0
10.29,0
10.39,0
10.50,0
10.60,0
10.70,0
10.80,0
10.90,0
11.01,0
11.11,0
11.21,0
11.31,0
11.41,0
11.51,0
11.62,0
11.72,0
11.82,0
11.92,0
12.02,0
12.13,0
12.23,0
12.33,0
12.43,0
12.53,0
12.64,0
12.74,0
12.84,0
12.94,0
13.04,0
13.15,0
13.25,1
13.35,1
13.45,1
13.55,1
13.66,1
13.76,1
13.86,1
13.96,1
