ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,Expectancy,SignalColor,MergeSide,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2Marge,Collision,Car2DecelStartAbs,Car2CollisionAbs,TimeToCollision
UNKNOWN,0,2.832,0.06,-1,SubBlock,,,,,2.891,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,0.175,-1,SubBlock,,,,,3.006,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.461,-1,SubBlock,,,,,4.293,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.518,-1,SubBlock,,,,,4.35,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.55,-1,SubBlock,,,,,4.381,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.566,-1,SubBlock,,,,,4.398,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.574,-1,SubBlock,,,,,4.405,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.58,-1,SubBlock,,,,,4.411,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.585,-1,SubBlock,,,,,4.416,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.588,-1,SubBlock,,,,,4.42,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.594,-1,SubBlock,,,,,4.425,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.597,-1,SubBlock,,,,,4.429,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.603,-1,SubBlock,,,,,4.434,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.609,-1,SubBlock,,,,,4.44,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.613,-1,SubBlock,,,,,4.445,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.619,-1,SubBlock,,,,,4.45,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.623,-1,SubBlock,,,,,4.454,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.627,-1,SubBlock,,,,,4.458,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.632,-1,SubBlock,,,,,4.464,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.636,-1,SubBlock,,,,,4.468,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.642,-1,SubBlock,,,,,4.474,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.646,-1,SubBlock,,,,,4.478,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.651,-1,SubBlock,,,,,4.483,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.656,-1,SubBlock,,,,,4.487,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.659,-1,SubBlock,,,,,4.491,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.664,-1,SubBlock,,,,,4.495,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.669,-1,SubBlock,,,,,4.501,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.674,-1,SubBlock,,,,,4.505,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.678,-1,SubBlock,,,,,4.509,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.683,-1,SubBlock,,,,,4.514,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.687,-1,SubBlock,,,,,4.519,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.691,-1,SubBlock,,,,,4.523,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.697,-1,SubBlock,,,,,4.528,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.701,-1,SubBlock,,,,,4.532,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.706,-1,SubBlock,,,,,4.537,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.71,-1,SubBlock,,,,,4.542,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.716,-1,SubBlock,,,,,4.548,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.722,-1,SubBlock,,,,,4.553,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.725,-1,SubBlock,,,,,4.557,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.731,-1,SubBlock,,,,,4.562,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.736,-1,SubBlock,,,,,4.567,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.742,-1,SubBlock,,,,,4.573,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.752,-1,SubBlock,,,,,4.584,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.756,-1,SubBlock,,,,,4.588,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.761,-1,SubBlock,,,,,4.593,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.77,-1,SubBlock,,,,,4.602,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.872,-1,SubBlock,,,,,4.703,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,1.972,-1,SubBlock,,,,,4.803,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,2.069,-1,SubBlock,,,,,4.9,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,2.17,-1,SubBlock,,,,,5.002,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,2.272,-1,SubBlock,,,,,5.104,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,2.372,-1,SubBlock,,,,,5.203,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,2.473,-1,SubBlock,,,,,5.305,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,2.57,-1,SubBlock,,,,,5.401,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,2.67,-1,SubBlock,,,,,5.501,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
UNKNOWN,0,2.832,2.77,-1,SubBlock,,,,,5.601,-1,,,,,0,0,,-1,-1,,,-1,50,50,0,0,,,,
P000,Day,6.039,0.083,0,E_Amb_L,Practice,Expected,Red,Right,6.122,0.498,0,0.839,-0.002,,3.354,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.25,0,E_Amb_L,Practice,Expected,Red,Right,6.289,0.666,0,0.839,-0.002,,3.354,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.279,0,E_Amb_L,Practice,Expected,Red,Right,6.318,0.694,0,0.843,-0.002,,0,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.299,0,E_Amb_L,Practice,Expected,Red,Right,6.338,0.715,0,0.844,-0.002,,0.089,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.316,0,E_Amb_L,Practice,Expected,Red,Right,6.355,0.731,0,0.844,-0.002,,0.131,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.33,0,E_Amb_L,Practice,Expected,Red,Right,6.369,0.745,0,0.845,-0.002,,0.164,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.343,0,E_Amb_L,Practice,Expected,Red,Right,6.382,0.759,0,0.846,-0.002,,0.164,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.371,0,E_Amb_L,Practice,Expected,Red,Right,6.411,0.787,0,0.849,-0.002,,0.209,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.484,0,E_Amb_L,Practice,Expected,Red,Right,6.524,0.9,0,0.86,-0.002,,0.204,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.568,0,E_Amb_L,Practice,Expected,Red,Right,6.608,0.984,0,0.866,-0.002,,0.129,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.672,0,E_Amb_L,Practice,Expected,Red,Right,6.711,1.087,0,0.87,-0.002,,0.04,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.774,0,E_Amb_L,Practice,Expected,Red,Right,6.814,1.19,0,0.871,-0.002,,0.012,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.863,0,E_Amb_L,Practice,Expected,Red,Right,6.903,1.279,0,0.87,-0.002,,0.028,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,0.967,0,E_Amb_L,Practice,Expected,Red,Right,7.006,1.382,0,0.868,-0.002,,0.023,0,,-1,-1,,,-1,50,50,0,0,0,,,
