ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,SurveyQuestion,SurveyResponse,SurveyRT
123,Day,0,Practice,Expected,Red,Left,2.50,0.00,0.0000,1.0422,-0.0025,0.0000,2.56,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,2.50,0.00,0.0000,1.0422,-0.0025,0.0000,2.56,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,2.60,0.10,0.0000,0.8790,-0.0025,0.0000,3.82,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,2.71,0.21,0.0000,0.8460,-0.0025,0.0000,0.16,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,2.82,0.32,0.0000,0.8564,-0.0025,0.0000,0.22,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,2.92,0.42,0.0000,0.8651,-0.0025,0.0000,0.14,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.02,0.52,0.0000,0.8697,-0.0025,0.0000,0.05,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.12,0.62,0.0000,0.8706,-0.0025,0.0000,0.01,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.23,0.73,0.0000,0.8697,-0.0025,0.0000,0.03,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.33,0.83,0.0000,0.8684,-0.0013,0.0000,0.08,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.44,0.94,0.0000,0.8676,0.0086,0.0000,0.38,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.54,1.04,0.0000,0.8673,0.0360,0.0000,0.91,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.64,1.14,0.0000,0.8673,0.0912,0.0000,1.56,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.74,1.24,0.0001,0.8675,0.1796,0.0001,2.23,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.85,1.35,0.0001,0.8676,0.3023,0.0001,2.91,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,3.95,1.45,0.0001,0.8677,0.4539,0.0001,3.69,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.06,1.56,0.0002,0.8677,0.6434,0.0002,4.36,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.16,1.66,0.0002,0.8677,0.8614,0.0002,5.03,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.26,1.76,0.0003,0.8677,1.1036,0.0003,5.71,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.37,1.87,0.0004,0.8676,1.3886,0.0004,6.49,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.47,1.97,0.0005,0.8676,1.6991,0.0005,7.16,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.58,2.07,0.0005,0.8676,2.0530,0.0005,7.83,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.68,2.18,0.0006,0.8676,2.4301,0.0006,8.50,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.78,2.28,0.0007,0.8676,2.8268,0.0007,9.17,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.88,2.38,0.0008,0.8676,3.2766,0.0008,9.96,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,4.99,2.49,0.0009,0.8676,3.7514,0.0009,10.63,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,5.09,2.59,0.0010,0.8678,4.2688,0.0010,11.31,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,5.20,2.70,0.0011,0.8685,4.8173,0.0011,11.97,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,5.30,2.80,0.0012,0.8686,5.3932,0.0012,12.75,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,5.41,2.91,0.0013,0.8684,6.0103,0.0013,13.42,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,5.51,3.01,0.0014,0.8682,6.6638,0.0014,14.09,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,5.62,3.12,0.0015,0.8681,7.3309,0.0015,14.87,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,5.72,3.22,0.0016,0.8681,8.0474,0.0016,15.54,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,5.83,3.33,0.0017,0.8681,8.7961,0.0017,16.21,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,5.93,3.43,0.0018,0.8681,9.5818,0.0018,16.99,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.03,3.53,0.0019,0.8681,10.3549,0.0019,17.66,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.14,3.64,0.0020,0.8681,11.1929,0.0020,18.33,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.24,3.74,0.0020,0.8681,12.0529,0.0020,19.00,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.34,3.84,0.0021,0.8681,12.9184,0.0021,19.67,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.45,3.95,0.0021,0.8681,13.8656,0.0021,20.34,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.55,4.05,0.0021,0.8681,14.7938,0.0021,21.00,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.65,4.15,0.0021,0.8681,15.8081,0.0021,21.78,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.76,4.26,0.0021,0.8681,16.8458,0.0021,22.45,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.87,4.37,0.0021,0.8681,17.9318,0.0021,23.12,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,6.97,4.47,0.0020,0.8681,19.0366,0.0020,23.90,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,7.08,4.58,0.0020,0.8681,20.1812,0.0020,24.56,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,7.18,4.68,0.0019,0.8681,21.3554,0.0019,25.23,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,7.29,4.79,0.0018,0.8681,22.5828,0.0018,26.01,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,7.40,4.89,0.0016,0.8681,23.8338,0.0016,26.68,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,7.50,5.00,0.0014,0.8681,25.1172,0.0014,27.45,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,7.60,5.10,0.0012,0.8681,26.3613,0.0012,28.12,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,7.71,5.21,0.0010,0.8681,27.6878,0.0010,28.79,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,7.81,5.31,0.0007,0.8681,29.0084,0.0007,29.45,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
