ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
96,Night,0,Practice,Expected,Amber,Left,48.76,0.07,0.0000,1.0411,-0.0025,2.19
96,Night,0,Practice,Expected,Amber,Left,48.86,0.17,0.0000,0.8842,-0.0025,4.39
96,Night,0,Practice,Expected,Amber,Left,48.97,0.28,0.0010,0.8497,-0.0049,0.44
96,Night,0,Practice,Expected,Amber,Left,49.07,0.38,0.0028,0.8638,-0.0084,0.28
96,Night,0,Practice,Expected,Amber,Left,49.17,0.48,0.0037,0.8716,-0.0087,0.12
96,Night,0,Practice,Expected,Amber,Left,49.28,0.59,0.0037,0.8735,-0.0061,0.17
96,Night,0,Practice,Expected,Amber,Left,49.38,0.69,0.0045,0.8724,0.0107,0.52
96,Night,0,Practice,Expected,Amber,Left,49.48,0.79,0.0092,0.8706,0.0610,1.15
96,Night,0,Practice,Expected,Amber,Left,49.58,0.89,0.0174,0.8689,0.1310,1.85
96,Night,0,Practice,Expected,Amber,Left,49.69,1.00,0.0308,0.8698,0.2298,2.50
96,Night,0,Practice,Expected,Amber,Left,49.79,1.10,0.0507,0.8697,0.3582,3.17
96,Night,0,Practice,Expected,Amber,Left,49.89,1.20,0.0760,0.8702,0.5151,3.82
96,Night,0,Practice,Expected,Amber,Left,49.99,1.31,0.1089,0.8701,0.7012,4.49
96,Night,0,Practice,Expected,Amber,Left,50.10,1.41,0.1495,0.8701,0.9155,5.14
96,Night,0,Practice,Expected,Amber,Left,50.20,1.51,0.2004,0.8700,1.1583,5.81
96,Night,1,Practice,Unexpected,Amber,Right,50.34,0.00,0.0000,1.0882,-0.0025,0.88
96,Night,1,Practice,Unexpected,Amber,Right,50.44,0.10,0.0000,0.9901,-0.0025,3.07
96,Night,1,Practice,Unexpected,Amber,Right,50.54,0.20,0.0004,0.8432,0.0052,0.55
96,Night,1,Practice,Unexpected,Amber,Right,50.65,0.31,0.0064,0.8634,0.0370,0.83
96,Night,1,Practice,Unexpected,Amber,Right,50.75,0.41,0.0143,0.8698,0.0874,1.30
96,Night,1,Practice,Unexpected,Amber,Right,50.85,0.51,0.0255,0.8682,0.1683,2.10
96,Night,1,Practice,Unexpected,Amber,Right,50.96,0.62,0.0407,0.8699,0.2787,2.75
96,Night,1,Practice,Unexpected,Amber,Right,51.06,0.72,0.0625,0.8700,0.4182,3.42
96,Night,1,Practice,Unexpected,Amber,Right,51.16,0.82,0.0904,0.8701,0.5863,4.07
96,Night,1,Practice,Unexpected,Amber,Right,51.26,0.92,0.1345,0.8700,0.8261,4.87
96,Night,1,Practice,Unexpected,Amber,Right,51.37,1.03,0.1814,0.8701,1.0567,5.51
96,Night,2,Practice,Expected,Red,Left,51.44,0.00,0.0000,1.0765,-0.0025,1.32
96,Night,2,Practice,Expected,Red,Left,51.54,0.10,0.0000,0.9587,-0.0025,3.51
96,Night,2,Practice,Expected,Red,Left,51.65,0.21,0.0004,0.8432,0.0034,0.50
96,Night,2,Practice,Expected,Red,Left,51.75,0.31,0.0060,0.8627,0.0326,0.79
96,Night,2,Practice,Expected,Red,Left,51.85,0.41,0.0135,0.8699,0.0818,1.27
96,Night,2,Practice,Expected,Red,Left,51.96,0.52,0.0240,0.8693,0.1605,2.04
96,Night,2,Practice,Expected,Red,Left,52.06,0.62,0.0384,0.8699,0.2679,2.69
96,Night,2,Practice,Expected,Red,Left,52.16,0.72,0.0596,0.8699,0.4049,3.36
96,Night,2,Practice,Expected,Red,Left,52.26,0.82,0.0938,0.8700,0.6071,4.16
96,Night,2,Practice,Expected,Red,Left,52.36,0.92,0.1306,0.8702,0.8071,4.81
96,Night,2,Practice,Expected,Red,Left,52.47,1.03,0.1767,0.8699,1.0353,5.45
96,Night,3,Practice,Unexpected,Red,Left,52.53,0.00,0.0000,1.0765,-0.0025,1.32
96,Night,3,Practice,Unexpected,Red,Left,52.64,0.10,0.0000,0.9587,-0.0025,3.51
96,Night,3,Practice,Unexpected,Red,Left,52.74,0.21,0.0004,0.8432,0.0099,0.72
96,Night,3,Practice,Unexpected,Red,Left,52.84,0.31,0.0070,0.8709,0.0719,1.34
96,Night,3,Practice,Unexpected,Red,Left,52.95,0.41,0.0159,0.8687,0.1443,2.01
96,Night,3,Practice,Unexpected,Red,Left,53.05,0.51,0.0303,0.8692,0.2513,2.66
96,Night,3,Practice,Unexpected,Red,Left,53.15,0.62,0.0495,0.8697,0.3862,3.32
96,Night,3,Practice,Unexpected,Red,Left,53.25,0.72,0.0761,0.8698,0.5506,3.99
96,Night,3,Practice,Unexpected,Red,Left,53.35,0.82,0.1100,0.8700,0.7434,4.64
96,Night,3,Practice,Unexpected,Red,Left,53.45,0.92,0.1533,0.8698,0.9648,5.31
96,Night,3,Practice,Unexpected,Red,Left,53.56,1.02,0.2055,0.8702,1.2141,5.95
96,Night,4,Main,Unexpected,Amber,Left,53.62,0.00,0.0000,1.0882,-0.0025,0.88
96,Night,4,Main,Unexpected,Amber,Left,53.72,0.10,0.0000,0.9901,-0.0025,3.07
96,Night,4,Main,Unexpected,Amber,Left,53.82,0.21,0.0002,0.8432,0.0038,0.51
96,Night,4,Main,Unexpected,Amber,Left,53.93,0.31,0.0053,0.8627,0.0346,0.83
96,Night,4,Main,Unexpected,Amber,Left,54.03,0.41,0.0116,0.8694,0.0832,1.25
96,Night,4,Main,Unexpected,Amber,Left,54.13,0.51,0.0215,0.8683,0.1624,2.05
96,Night,4,Main,Unexpected,Amber,Left,54.23,0.62,0.0357,0.8697,0.2708,2.71
96,Night,4,Main,Unexpected,Amber,Left,54.34,0.72,0.0567,0.8698,0.4084,3.38
96,Night,4,Main,Unexpected,Amber,Left,54.44,0.83,0.0903,0.8699,0.6115,4.17
96,Night,4,Main,Unexpected,Amber,Left,54.55,0.93,0.1267,0.8700,0.8122,4.82
96,Night,4,Main,Unexpected,Amber,Left,54.65,1.03,0.1720,0.8700,1.0416,5.48
96,Night,5,Main,Expected,Red,Left,54.73,0.00,0.0000,1.0765,-0.0025,1.32
96,Night,5,Main,Expected,Red,Left,54.83,0.10,0.0000,0.9587,-0.0025,3.51
96,Night,5,Main,Expected,Red,Left,54.93,0.20,0.0001,0.8432,0.0056,0.57
96,Night,5,Main,Expected,Red,Left,55.04,0.31,0.0053,0.8639,0.0420,0.95
96,Night,5,Main,Expected,Red,Left,55.14,0.41,0.0123,0.8694,0.0970,1.42
96,Night,5,Main,Expected,Red,Left,55.24,0.51,0.0254,0.8680,0.2039,2.35
96,Night,5,Main,Expected,Red,Left,55.35,0.62,0.0425,0.8700,0.3259,3.00
96,Night,5,Main,Expected,Red,Left,55.45,0.72,0.0658,0.8699,0.4761,3.66
96,Night,5,Main,Expected,Red,Left,55.55,0.82,0.0966,0.8701,0.6556,4.33
96,Night,5,Main,Expected,Red,Left,55.65,0.92,0.1351,0.8701,0.8632,4.99
96,Night,5,Main,Expected,Red,Left,55.76,1.03,0.1834,0.8700,1.0995,5.66
96,Night,5,Main,Expected,Red,Left,55.86,1.13,0.2416,0.8701,1.3634,6.31
96,Night,6,Main,Unexpected,Red,Right,55.99,0.00,0.0000,1.0765,-0.0025,1.32
96,Night,6,Main,Unexpected,Red,Right,56.10,0.10,0.0000,0.9587,-0.0025,3.51
96,Night,6,Main,Unexpected,Red,Right,56.20,0.20,0.0004,0.8432,0.0018,0.44
96,Night,6,Main,Unexpected,Red,Right,56.30,0.31,0.0065,0.8654,0.0336,0.75
