ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH
98,Day,0,Practice,Unexpected,Red,Left,3.13,0.00,0.0000,0.8433,-0.0025,0.0000,0.04
98,Day,0,Practice,Unexpected,Red,Left,3.13,0.00,0.0000,0.8433,-0.0025,0.0000,0.04
98,Day,0,Practice,Unexpected,Red,Left,3.23,0.10,0.0000,0.8507,-0.0025,0.0000,0.22
98,Day,0,Practice,Unexpected,Red,Left,3.33,0.21,0.0000,0.8609,-0.0025,0.0000,0.19
98,Day,0,Practice,Unexpected,Red,Left,3.45,0.32,0.0000,0.8682,-0.0025,0.0000,0.10
98,Day,0,Practice,Unexpected,Red,Left,3.56,0.43,0.0000,0.8706,-0.0025,0.0000,0.01
98,Day,0,Practice,Unexpected,Red,Left,3.67,0.54,0.0000,0.8700,-0.0025,0.0000,0.03
98,Day,0,Practice,Unexpected,Red,Left,3.78,0.66,0.0000,0.8686,-0.0025,0.0000,0.03
98,Day,0,Practice,Unexpected,Red,Left,3.89,0.77,0.0000,0.8677,-0.0025,0.0000,0.01
98,Day,0,Practice,Unexpected,Red,Left,4.01,0.88,0.0000,0.8673,-0.0025,0.0000,0.00
98,Day,0,Practice,Unexpected,Red,Left,4.12,0.99,0.0000,0.8673,-0.0025,0.0000,0.00
98,Day,0,Practice,Unexpected,Red,Left,4.22,1.10,0.0000,0.8675,-0.0025,0.0000,0.00
98,Day,0,Practice,Unexpected,Red,Left,4.32,1.20,0.0000,0.8676,-0.0025,0.0000,0.00
98,Day,0,Practice,Unexpected,Red,Left,4.43,1.30,0.0000,0.8677,-0.0025,0.0000,0.00
98,Day,0,Practice,Unexpected,Red,Left,4.54,1.41,0.0000,0.8677,-0.0025,0.0000,0.00
98,Day,0,Practice,Unexpected,Red,Left,4.65,1.52,0.0000,0.8677,-0.0025,0.0000,0.00
98,Day,0,Practice,Unexpected,Red,Left,4.75,1.62,0.0000,0.8677,-0.0025,0.0000,0.00
98,Day,0,Practice,Unexpected,Red,Left,4.86,1.73,0.0000,0.8676,-0.0025,0.0000,0.00
98,Day,0,Practice,Unexpected,Red,Left,4.97,1.84,0.0000,0.8676,-0.0025,0.0000,0.00
