ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,MergeCueTimeRel,DriverResponseTimeRel,ReactionTime,ResponseType,SurveyQuestion,SurveyResponse,SurveyRT
99,Day,0,Practice,Expected,Red,Right,8.43,0.00,0.0000,0.8432,-0.0025,0.0000,0.04,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,8.43,0.00,0.0000,0.8432,-0.0025,0.0000,0.04,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,8.54,0.11,0.0000,0.8499,-0.0025,0.0000,0.22,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,8.65,0.22,0.0000,0.8609,-0.0025,0.0000,0.19,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,8.76,0.32,0.0000,0.8681,-0.0025,0.0000,0.10,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,8.86,0.43,0.0000,0.8705,-0.0025,0.0000,0.02,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,8.97,0.54,0.0000,0.8702,-0.0025,0.0000,0.02,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,9.09,0.65,0.0000,0.8688,-0.0025,0.0000,0.03,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,9.19,0.75,0.0000,0.8678,-0.0025,0.0000,0.02,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,9.30,0.87,0.0000,0.8673,-0.0022,0.0000,0.03,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,9.40,0.97,0.0000,0.8673,0.0016,0.0000,0.22,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,9.51,1.08,0.0000,0.8674,0.0194,0.0000,0.60,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,9.61,1.18,0.0000,0.8676,0.0589,0.0000,1.18,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,9.72,1.28,0.0000,0.8677,0.1325,0.0000,1.85,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,9.83,1.39,0.0001,0.8677,0.2434,0.0001,2.64,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,9.93,1.49,0.0001,0.8677,0.3773,0.0001,3.31,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.04,1.60,0.0002,0.8677,0.5596,0.0002,4.09,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.14,1.71,0.0002,0.8676,0.7723,0.0002,4.77,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.25,1.82,0.0003,0.8676,1.0158,0.0003,5.55,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.36,1.93,0.0003,0.8676,1.3042,0.0003,6.22,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.47,2.03,0.0004,0.8676,1.6174,0.0004,6.89,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.57,2.14,0.0005,0.8676,1.9696,0.0005,7.68,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.68,2.25,0.0046,0.8676,2.3478,0.0046,8.34,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.79,2.35,0.0188,0.8676,2.7591,0.0188,9.12,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.89,2.45,0.0286,0.8676,3.1929,0.0286,9.79,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,10.99,2.56,0.0356,0.8676,3.6672,0.0356,10.46,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,11.10,2.67,0.0366,0.8676,4.2012,0.0366,11.23,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
