ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH
P000,Day,0,Practice,Unexpected,Amber,Left,1.30,0.00,0.0000,0.8434,-0.0025,0.0000,0.04
P000,Day,0,Practice,Unexpected,Amber,Left,1.30,0.00,0.0000,0.8434,-0.0025,0.0000,0.04
P000,Day,0,Practice,Unexpected,Amber,Left,1.40,0.10,0.0000,0.8505,-0.0025,0.0000,0.22
P000,Day,0,Practice,Unexpected,Amber,Left,1.50,0.20,0.0000,0.8607,-0.0025,0.0000,0.20
P000,Day,0,Practice,Unexpected,Amber,Left,1.60,0.31,0.0000,0.8678,-0.0025,0.0000,0.10
P000,Day,0,Practice,Unexpected,Amber,Left,1.71,0.42,0.0000,0.8705,-0.0025,0.0000,0.02
P000,Day,0,Practice,Unexpected,Amber,Left,1.82,0.53,0.0000,0.8702,-0.0025,0.0000,0.02
P000,Day,0,Practice,Unexpected,Amber,Left,1.93,0.64,0.0000,0.8688,0.0001,0.0000,0.16
P000,Day,0,Practice,Unexpected,Amber,Left,2.04,0.74,0.0000,0.8678,0.0149,0.0000,0.52
P000,Day,0,Practice,Unexpected,Amber,Left,2.14,0.85,0.0002,0.8673,0.0516,0.0002,1.12
P000,Day,0,Practice,Unexpected,Amber,Left,2.25,0.96,0.0033,0.8673,0.1234,0.0033,1.89
P000,Day,0,Practice,Unexpected,Amber,Left,2.36,1.06,0.0129,0.8674,0.2279,0.0129,2.55
P000,Day,0,Practice,Unexpected,Amber,Left,2.46,1.17,0.0322,0.8676,0.3656,0.0322,3.21
P000,Day,0,Practice,Unexpected,Amber,Left,2.57,1.27,0.0584,0.8677,0.5241,0.0584,3.87
P000,Day,0,Practice,Unexpected,Amber,Left,2.67,1.37,0.0879,0.8677,0.7154,0.0879,4.66
P000,Day,0,Practice,Unexpected,Amber,Left,2.77,1.48,0.1170,0.8677,0.9528,0.1170,5.34
P000,Day,0,Practice,Unexpected,Amber,Left,2.88,1.59,0.1400,0.8677,1.2216,0.1400,6.01
P000,Day,0,Practice,Unexpected,Amber,Left,2.99,1.69,0.1579,0.8676,1.5214,0.1579,6.79
P000,Day,0,Practice,Unexpected,Amber,Left,3.09,1.79,0.1757,0.8676,1.8455,0.1757,7.46
P000,Day,0,Practice,Unexpected,Amber,Left,3.19,1.89,0.1945,0.8676,2.1942,0.1945,8.13
P000,Day,0,Practice,Unexpected,Amber,Left,3.29,1.99,0.2109,0.8676,2.5724,0.2109,8.80
P000,Day,0,Practice,Unexpected,Amber,Left,3.39,2.10,0.2135,0.8676,2.9856,0.2135,9.44
P000,Day,0,Practice,Unexpected,Amber,Left,3.49,2.20,0.1942,0.8676,3.4243,0.1942,10.05
P000,Day,0,Practice,Unexpected,Amber,Left,3.59,2.30,0.1477,0.8676,3.8875,0.1477,10.67
P000,Day,0,Practice,Unexpected,Amber,Left,3.69,2.40,0.0762,0.8676,4.3875,0.0762,11.31
P000,Day,0,Practice,Unexpected,Amber,Left,3.79,2.50,-0.0167,0.8684,4.9033,-0.0167,11.96
P000,Day,0,Practice,Unexpected,Amber,Left,3.90,2.60,-0.1364,0.8686,5.4532,-0.1364,12.61
P000,Day,0,Practice,Unexpected,Amber,Left,4.00,2.71,-0.2904,0.8685,6.0476,-0.2904,13.37
P000,Day,0,Practice,Unexpected,Amber,Left,4.11,2.81,-0.4767,0.8682,6.6603,-0.4767,14.01
P000,Day,0,Practice,Unexpected,Amber,Left,4.21,2.91,-0.6892,0.8681,7.2656,-0.6892,14.65
P000,Day,0,Practice,Unexpected,Amber,Left,4.31,3.02,-0.9492,0.8681,7.9125,-0.9492,15.28
P000,Day,0,Practice,Unexpected,Amber,Left,4.41,3.12,-1.2016,0.8692,8.5744,-1.2016,15.88
P000,Day,0,Practice,Unexpected,Amber,Left,4.52,3.22,-1.4347,0.8690,9.2986,-1.4347,16.58
P000,Day,0,Practice,Unexpected,Amber,Left,4.62,3.32,-1.6312,0.8683,10.0304,-1.6312,17.14
P000,Day,0,Practice,Unexpected,Amber,Left,4.72,3.42,-1.7907,0.8680,10.7980,-1.7907,17.68
P000,Day,0,Practice,Unexpected,Amber,Left,4.82,3.53,-1.9122,0.8679,11.6038,-1.9122,18.27
P000,Day,0,Practice,Unexpected,Amber,Left,4.92,3.63,-1.9932,0.8700,12.4442,-1.9932,18.87
P000,Day,0,Practice,Unexpected,Amber,Left,5.03,3.73,-2.0298,0.8692,13.3250,-2.0298,19.46
P000,Day,0,Practice,Unexpected,Amber,Left,5.13,3.83,-2.0139,0.8683,14.2338,-2.0139,20.04
P000,Day,0,Practice,Unexpected,Amber,Left,5.23,3.94,-1.9387,0.8679,15.1818,-1.9387,20.71
P000,Day,0,Practice,Unexpected,Amber,Left,5.34,4.04,-1.8006,0.8684,16.1381,-1.8006,21.27
P000,Day,0,Practice,Unexpected,Amber,Left,5.44,4.15,-1.5944,0.8691,17.1124,-1.5944,21.83
P000,Day,0,Practice,Unexpected,Amber,Left,5.54,4.25,-1.3195,0.8685,18.0859,-1.3195,22.37
P000,Day,0,Practice,Unexpected,Amber,Left,5.64,4.35,-1.0207,0.8691,19.0678,-1.0207,23.01
P000,Day,0,Practice,Unexpected,Amber,Left,5.75,4.45,-0.7330,0.8692,20.0898,-0.7330,23.61
P000,Day,0,Practice,Unexpected,Amber,Left,5.85,4.55,-0.4730,0.8684,21.1290,-0.4730,24.15
P000,Day,0,Practice,Unexpected,Amber,Left,5.95,4.65,-0.2547,0.8679,22.2042,-0.2547,24.63
P000,Day,0,Practice,Unexpected,Amber,Left,6.05,4.75,-0.0880,0.8679,23.3276,-0.0880,25.13
P000,Day,0,Practice,Unexpected,Amber,Left,6.15,4.86,0.0151,0.8680,24.5084,0.0151,25.72
P000,Day,0,Practice,Unexpected,Amber,Left,6.26,4.96,0.0433,0.8681,25.7098,0.0433,26.26
P000,Day,0,Practice,Unexpected,Amber,Left,6.36,5.06,0.0630,0.8682,26.9206,0.0630,26.88
P000,Day,0,Practice,Unexpected,Amber,Left,6.46,5.16,0.0972,0.8682,28.1410,0.0972,27.46
P000,Day,0,Practice,Unexpected,Amber,Left,6.56,5.27,0.1659,0.8682,29.4086,0.1659,27.96
P000,Day,0,Practice,Unexpected,Amber,Left,6.66,5.37,0.2910,0.8682,30.6910,0.2910,28.43
P000,Day,0,Practice,Unexpected,Amber,Left,6.76,5.47,0.4828,0.8681,31.9704,0.4828,28.90
P000,Day,0,Practice,Unexpected,Amber,Left,6.87,5.58,0.7877,0.8681,33.3766,0.7877,29.41
P000,Day,0,Practice,Unexpected,Amber,Left,6.98,5.68,1.1721,0.8684,34.6751,1.1721,29.79
P000,Day,0,Practice,Unexpected,Amber,Left,7.09,5.79,1.6943,0.8687,36.0307,1.6943,30.24
P000,Day,0,Practice,Unexpected,Amber,Left,7.19,5.89,2.2522,0.8683,37.3147,2.2522,30.87
P000,Day,0,Practice,Unexpected,Amber,Left,7.29,6.00,2.8570,0.8687,38.6626,2.8570,31.45
P000,Day,0,Practice,Unexpected,Amber,Left,7.40,6.10,3.4443,0.8685,39.9900,3.4443,31.98
P000,Day,0,Practice,Unexpected,Amber,Left,7.50,6.20,4.0039,0.8682,41.3579,4.0039,32.45
P000,Day,0,Practice,Unexpected,Amber,Left,7.60,6.31,4.5171,0.8680,42.7823,4.5171,32.98
