ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH
,Day,0,Practice,Unexpected,Red,Left,1.72,0.00,0.0000,0.8433,-0.0025,0.0000,0.04
,Day,0,Practice,Unexpected,Red,Left,1.72,0.00,0.0000,0.8433,-0.0025,0.0000,0.04
,Day,0,Practice,Unexpected,Red,Left,1.83,0.10,0.0000,0.8502,-0.0025,0.0000,0.22
,Day,0,Practice,Unexpected,Red,Left,1.93,0.21,0.0000,0.8610,-0.0025,0.0000,0.19
,Day,0,Practice,Unexpected,Red,Left,2.04,0.32,0.0000,0.8680,-0.0025,0.0000,0.10
,Day,0,Practice,Unexpected,Red,Left,2.15,0.42,0.0000,0.8705,-0.0025,0.0000,0.02
,Day,0,Practice,Unexpected,Red,Left,2.25,0.53,0.0000,0.8702,-0.0025,0.0000,0.02
,Day,0,Practice,Unexpected,Red,Left,2.35,0.63,0.0000,0.8690,-0.0025,0.0000,0.03
,Day,0,Practice,Unexpected,Red,Left,2.45,0.73,0.0000,0.8679,-0.0025,0.0000,0.02
,Day,0,Practice,Unexpected,Red,Left,2.56,0.84,0.0000,0.8674,-0.0025,0.0000,0.01
,Day,0,Practice,Unexpected,Red,Left,2.67,0.94,0.0000,0.8673,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,2.77,1.05,0.0000,0.8674,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,2.88,1.16,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,2.99,1.27,0.0000,0.8677,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,3.10,1.38,0.0000,0.8677,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,3.20,1.48,0.0000,0.8677,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,3.31,1.58,0.0000,0.8677,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,3.41,1.69,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,3.51,1.79,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,3.62,1.90,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,3.72,2.00,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,3.83,2.10,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,3.93,2.21,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.03,2.31,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.13,2.41,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.23,2.51,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.34,2.61,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.44,2.72,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.54,2.82,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.64,2.92,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.74,3.02,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.84,3.12,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,4.94,3.22,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.05,3.32,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.15,3.43,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.25,3.53,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.36,3.63,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.46,3.74,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.57,3.85,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.67,3.95,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.78,4.06,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.88,4.16,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,5.98,4.26,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,6.09,4.36,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,6.19,4.47,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,6.30,4.57,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,6.40,4.68,0.0000,0.8676,-0.0025,0.0000,0.00
,Day,0,Practice,Unexpected,Red,Left,6.50,4.78,0.0000,0.8676,-0.0025,0.0000,0.00
