Time,X,Y,Z
0.35,0.0022,0.8588,-0.0074
0.46,0.0034,0.8693,-0.0089
0.56,0.0039,0.8734,-0.0082
0.66,0.0036,0.8724,-0.0022
0.77,0.0030,0.8706,0.0201
0.87,0.0022,0.8698,0.0657
0.97,0.0011,0.8695,0.1366
1.07,0.0012,0.8699,0.2373
1.17,0.0004,0.8700,0.3679
1.28,0.0009,0.8701,0.5284
1.38,0.0003,0.8702,0.7188
1.48,0.0010,0.8700,0.9392
1.58,0.0048,0.8703,1.1893
1.68,0.0242,0.8698,1.5267
1.78,0.0587,0.8693,1.8370
1.88,0.1082,0.8691,2.1734
1.99,0.1708,0.8689,2.5393
2.09,0.2385,0.8698,2.9362
2.19,0.3074,0.8702,3.3625
2.29,0.3629,0.8696,3.8166
2.40,0.3982,0.8687,4.3007
2.50,0.4058,0.8662,4.9166
2.60,0.3876,0.8682,5.4592
2.70,0.3723,0.8662,6.0355
2.81,0.3700,0.8714,6.6395
2.91,0.3867,0.8707,7.2592
3.01,0.4448,0.8696,7.8997
3.12,0.5128,0.8649,8.5732
3.22,0.5850,0.8721,9.4233
3.32,0.6231,0.8685,10.1510
3.43,0.6238,0.8683,10.9028
3.53,0.5849,0.8690,11.6774
3.63,0.5028,0.8684,12.4732
3.74,0.3740,0.8683,13.2885
3.84,0.1578,0.8672,14.2888
3.95,-0.0789,0.8683,15.1387
4.05,-0.3666,0.8680,15.9966
4.16,-0.6714,0.8648,16.8914
4.26,-1.0435,0.8744,18.0024
4.36,-1.3324,0.8679,18.9519
4.47,-1.5841,0.8702,19.9348
4.57,-1.8018,0.8676,20.9418
4.67,-1.9685,0.8701,21.9748
4.78,-2.0794,0.8733,23.0367
4.88,-2.1418,0.8669,24.1063
4.98,-2.1160,0.8757,25.4055
5.08,-2.0272,0.8802,26.4891
5.19,-1.8768,0.8848,27.5692
5.29,-1.6853,0.8687,28.6477
5.39,-1.4442,0.8614,29.7461
5.49,-1.1444,0.8766,30.8736
5.59,-0.8297,0.8718,32.0287
5.70,-0.5142,0.8737,33.2353
5.80,-0.2281,0.8836,34.4940
5.90,0.0097,0.8874,35.7845
6.00,0.2217,0.8962,37.3539
6.10,0.3280,0.9037,38.6681
6.20,0.3712,0.9122,39.9828
6.31,0.3546,0.9191,41.2919
6.41,0.2850,0.9218,42.5926
6.51,0.1684,0.9156,43.8888
6.61,0.0078,0.8971,45.1838
6.71,-0.1991,0.8652,46.4766
6.82,-0.5086,0.8719,47.7290
6.92,-0.8936,0.8931,48.9402
7.02,-1.3206,0.9039,50.1230
7.12,-1.7868,0.9064,51.2776
7.22,-2.3843,0.8881,52.6172
7.32,-2.9034,0.8606,53.6899
7.42,-3.4332,0.8711,54.6617
7.53,-3.9506,0.8724,55.5897
7.63,-4.4426,0.8641,56.4847
7.73,-4.8915,0.8668,57.3264
7.83,-5.2988,0.8670,58.1365
7.93,-5.6589,0.8676,58.9164
8.03,-5.9684,0.8679,59.6727
8.14,-6.2215,0.8674,60.4143
8.24,-6.4339,0.8665,61.1419
8.34,-6.6529,0.8656,61.9858
8.44,-6.8009,0.8669,62.6643
8.54,-6.8978,0.8728,63.3151
8.65,-6.9447,0.8618,63.9169
8.75,-6.9636,0.8593,64.4416
8.85,-6.9682,0.8628,64.8871
8.95,-6.9657,0.8665,65.2573
9.05,-6.9634,0.8670,65.5516
9.16,-6.9618,0.8669,65.7695
9.26,-6.9599,0.8671,65.9437
9.36,-6.9584,0.8697,66.0329
9.46,-6.9561,0.8699,66.0793
9.57,-6.9547,0.8698,66.0861
9.67,-6.9528,0.8699,66.0601
9.77,-6.9476,0.8699,66.0008
9.87,-6.9383,0.8702,65.9096
9.98,-6.9238,0.8698,65.7854
10.08,-6.9049,0.8700,65.6324
10.18,-6.8728,0.8700,65.4102
10.29,-6.8373,0.8700,65.1933
10.39,-6.7936,0.8701,64.9482
10.49,-6.7390,0.8699,64.6747
10.59,-6.6737,0.8701,64.3741
10.69,-6.5942,0.8698,64.0462
10.80,-6.5004,0.8698,63.6922
10.90,-6.3647,0.8696,63.2336
11.01,-6.2298,0.8692,62.8245
11.11,-6.0745,0.8691,62.3925
11.21,-5.8940,0.8687,61.9385
11.31,-5.6855,0.8679,61.4645
11.41,-5.4512,0.8675,60.9725
11.52,-5.1821,0.8675,60.4661
11.62,-4.8881,0.8676,59.9549
11.72,-4.5688,0.8663,59.4462
11.82,-4.1533,0.8667,58.8562
11.93,-3.7854,0.8664,58.3815
12.03,-3.3961,0.8672,57.9272
12.13,-2.9898,0.8673,57.4893
12.23,-2.5659,0.8668,57.0711
12.33,-2.1287,0.8674,56.6690
12.43,-1.6733,0.8676,56.2908
12.54,-1.2036,0.8669,55.9322
12.64,-0.7190,0.8678,55.5969
12.74,-0.1231,0.8664,55.2215
12.84,0.3877,0.8680,54.9338
12.95,0.9103,0.8692,54.6713
13.05,1.4396,0.8665,54.4285
13.15,1.9787,0.8696,54.2067
13.25,2.5253,0.8670,54.0129
13.35,3.0739,0.8671,53.8398
13.45,3.6167,0.8681,53.6952
13.55,4.1424,0.8679,53.5782
13.66,4.6407,0.8719,53.4890
13.76,5.1170,0.8659,53.4169
13.86,5.5631,0.8613,53.3569
13.96,5.6421,0.9463,53.2446
14.06,5.6706,0.9644,53.1493
14.17,5.7016,0.9331,53.0570
14.27,5.7286,0.8701,52.9695
14.37,5.6991,0.8476,52.9117
14.47,5.6184,0.8620,52.8903
14.57,5.5149,0.8685,52.8779
14.68,5.4006,0.8646,52.8730
14.78,5.2798,0.8637,52.8698
14.88,5.1353,0.8651,52.8670
14.98,5.0143,0.8666,52.8648
15.09,4.8929,0.8677,52.8622
15.19,4.7705,0.8698,52.8586
15.29,4.6488,0.8697,52.8544
15.39,4.5275,0.8682,52.8503
