Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.45,0.0034,0.8693,-0.0089,0.18
0.56,0.0039,0.8733,-0.0079,0.08
0.66,0.0037,0.8727,-0.0059,0.10
0.76,0.0031,0.8704,-0.0032,0.12
0.86,0.0024,0.8683,0.0047,0.27
0.96,0.0015,0.8678,0.0373,0.74
1.06,0.0010,0.8690,0.0910,1.35
1.17,0.0010,0.8698,0.1690,2.03
1.27,0.0048,0.8698,0.2780,2.70
1.37,0.0147,0.8699,0.4155,3.35
1.47,0.0344,0.8695,0.5815,4.00
1.58,0.0625,0.8698,0.7755,4.65
1.68,0.1005,0.8698,0.9985,5.32
1.78,0.1589,0.8699,1.3030,6.11
1.88,0.2195,0.8699,1.5871,6.76
1.99,0.2936,0.8697,1.8987,7.43
2.09,0.3813,0.8701,2.2368,8.08
2.19,0.4858,0.8695,2.6008,8.74
2.29,0.6074,0.8696,2.9896,9.39
2.40,0.7502,0.8690,3.4025,10.05
2.50,0.9448,0.8693,3.9312,10.83
2.61,1.1100,0.8693,4.3972,11.12
