ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
98,Day,0,Practice,Expected,Amber,Right,14.55,0.00,0.0000,1.0608,-0.0025,1.76
98,Day,0,Practice,Expected,Amber,Right,14.65,0.10,0.0000,0.9234,-0.0025,3.95
98,Day,0,Practice,Expected,Amber,Right,14.76,0.21,0.0005,0.8465,-0.0037,0.46
98,Day,0,Practice,Expected,Amber,Right,14.86,0.31,0.0025,0.8614,-0.0080,0.32
98,Day,0,Practice,Expected,Amber,Right,14.96,0.41,0.0036,0.8706,-0.0089,0.15
98,Day,0,Practice,Expected,Amber,Right,15.06,0.51,0.0039,0.8734,-0.0079,0.06
98,Day,0,Practice,Expected,Amber,Right,15.16,0.61,0.0035,0.8720,0.0005,0.28
98,Day,0,Practice,Expected,Amber,Right,15.27,0.72,0.0020,0.8703,0.0261,0.69
98,Day,0,Practice,Expected,Amber,Right,15.37,0.82,-0.0009,0.8698,0.0754,1.29
98,Day,0,Practice,Expected,Amber,Right,15.47,0.93,-0.0063,0.8697,0.1513,1.96
98,Day,0,Practice,Expected,Amber,Right,15.58,1.03,-0.0076,0.8699,0.2561,2.62
98,Day,0,Practice,Expected,Amber,Right,15.68,1.13,-0.0011,0.8695,0.3906,3.27
98,Day,0,Practice,Expected,Amber,Right,15.78,1.24,0.0188,0.8697,0.5890,4.05
98,Day,0,Practice,Expected,Amber,Right,15.89,1.34,0.0454,0.8698,0.7852,4.70
98,Day,0,Practice,Expected,Amber,Right,15.99,1.45,0.0686,0.8696,1.0115,5.34
98,Day,0,Practice,Expected,Amber,Right,16.10,1.55,0.0794,0.8696,1.2656,5.97
98,Day,0,Practice,Expected,Amber,Right,16.20,1.66,0.0719,0.8693,1.6083,6.72
98,Day,0,Practice,Expected,Amber,Right,16.30,1.76,0.0503,0.8682,1.9240,7.37
98,Day,0,Practice,Expected,Amber,Right,16.41,1.86,0.0426,0.8679,2.2734,7.99
98,Day,0,Practice,Expected,Amber,Right,16.51,1.96,0.0400,0.8695,2.6457,8.62
98,Day,0,Practice,Expected,Amber,Right,16.61,2.07,0.0364,0.8690,3.0521,9.30
98,Day,0,Practice,Expected,Amber,Right,16.72,2.17,0.0387,0.8704,3.4850,9.96
98,Day,0,Practice,Expected,Amber,Right,16.82,2.27,0.0493,0.8698,3.9472,10.62
98,Day,0,Practice,Expected,Amber,Right,16.92,2.37,0.0574,0.8700,4.4404,11.27
98,Day,0,Practice,Expected,Amber,Right,17.03,2.48,0.0703,0.8679,5.0693,12.08
98,Day,0,Practice,Expected,Amber,Right,17.13,2.58,0.0776,0.8704,5.6282,12.76
98,Day,0,Practice,Expected,Amber,Right,17.23,2.68,0.0877,0.8694,6.2154,13.38
98,Day,0,Practice,Expected,Amber,Right,17.34,2.79,0.1049,0.8704,6.8328,14.07
98,Day,0,Practice,Expected,Amber,Right,17.44,2.89,0.1197,0.8712,7.4790,14.70
