ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
99,Day,12,Main,Expected,Amber,Left,31.18,0.00,0.0000,1.0882,-0.0025,0.88
99,Day,12,Main,Expected,Amber,Left,31.28,0.11,0.0000,0.9587,-0.0025,3.51
99,Day,12,Main,Expected,Amber,Left,31.39,0.21,0.0000,0.8433,-0.0024,0.47
99,Day,12,Main,Expected,Amber,Left,31.49,0.31,0.0022,0.8588,-0.0074,0.35
99,Day,12,Main,Expected,Amber,Left,31.59,0.41,0.0034,0.8693,-0.0089,0.18
99,Day,12,Main,Expected,Amber,Left,31.69,0.52,0.0039,0.8733,-0.0079,0.08
99,Day,12,Main,Expected,Amber,Left,31.80,0.62,0.0037,0.8727,-0.0059,0.10
99,Day,12,Main,Expected,Amber,Left,31.90,0.72,0.0031,0.8704,-0.0037,0.10
99,Day,12,Main,Expected,Amber,Left,32.00,0.82,0.0022,0.8678,-0.0011,0.12
99,Day,12,Main,Expected,Amber,Left,32.10,0.93,0.0015,0.8668,0.0049,0.19
99,Day,12,Main,Expected,Amber,Left,32.21,1.03,0.0010,0.8671,0.0219,0.46
99,Day,12,Main,Expected,Amber,Left,32.31,1.13,0.0017,0.8684,0.0624,1.01
99,Day,12,Main,Expected,Amber,Left,32.42,1.24,0.0049,0.8699,0.1277,1.68
99,Day,12,Main,Expected,Amber,Left,32.52,1.34,0.0137,0.8697,0.2203,2.34
99,Day,12,Main,Expected,Amber,Left,32.62,1.44,0.0279,0.8698,0.3394,2.88
99,Day,12,Main,Expected,Amber,Left,32.72,1.54,0.0454,0.8699,0.5104,3.47
99,Day,12,Main,Expected,Amber,Left,32.82,1.64,0.0582,0.8701,0.6820,4.12
99,Day,12,Main,Expected,Amber,Left,32.92,1.74,0.0676,0.8697,0.8840,4.79
99,Day,12,Main,Expected,Amber,Left,33.03,1.85,0.0791,0.8702,1.1154,5.45
99,Day,12,Main,Expected,Amber,Left,33.13,1.95,0.1002,0.8697,1.3756,6.11
99,Day,12,Main,Expected,Amber,Left,33.24,2.06,0.1354,0.8700,1.6620,6.72
99,Day,12,Main,Expected,Amber,Left,33.34,2.16,0.2002,0.8693,2.0400,7.49
99,Day,12,Main,Expected,Amber,Left,33.44,2.26,0.2702,0.8689,2.3855,8.15
99,Day,12,Main,Expected,Amber,Left,33.55,2.37,0.3471,0.8694,2.7568,8.66
