ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
99,Night,0,Practice,Unexpected,Red,Left,5.07,0.00,0.0000,1.0765,-0.0025,1.32
99,Night,0,Practice,Unexpected,Red,Left,5.17,0.10,0.0000,0.9587,-0.0025,3.51
99,Night,0,Practice,Unexpected,Red,Left,5.27,0.21,0.0000,0.8433,-0.0024,0.47
99,Night,0,Practice,Unexpected,Red,Left,5.38,0.31,0.0022,0.8588,-0.0074,0.35
99,Night,0,Practice,Unexpected,Red,Left,5.48,0.41,0.0036,0.8706,-0.0089,0.15
99,Night,0,Practice,Unexpected,Red,Left,5.59,0.52,0.0039,0.8735,-0.0076,0.08
99,Night,0,Practice,Unexpected,Red,Left,5.69,0.62,0.0036,0.8723,-0.0054,0.10
99,Night,0,Practice,Unexpected,Red,Left,5.79,0.72,0.0029,0.8699,-0.0034,0.10
99,Night,0,Practice,Unexpected,Red,Left,5.89,0.83,0.0022,0.8678,-0.0009,0.11
99,Night,0,Practice,Unexpected,Red,Left,5.99,0.93,0.0015,0.8668,0.0065,0.25
99,Night,0,Practice,Unexpected,Red,Left,6.10,1.03,0.0010,0.8673,0.0304,0.63
99,Night,0,Practice,Unexpected,Red,Left,6.20,1.13,0.0008,0.8692,0.0895,1.32
99,Night,0,Practice,Unexpected,Red,Left,6.30,1.23,0.0019,0.8696,0.1655,1.99
99,Night,0,Practice,Unexpected,Red,Left,6.41,1.34,0.0081,0.8699,0.2722,2.65
99,Night,0,Practice,Unexpected,Red,Left,6.51,1.44,0.0216,0.8698,0.4070,3.29
99,Night,0,Practice,Unexpected,Red,Left,6.61,1.55,0.0440,0.8696,0.5707,3.96
99,Night,0,Practice,Unexpected,Red,Left,6.72,1.65,0.0696,0.8698,0.7630,4.60
99,Night,0,Practice,Unexpected,Red,Left,6.82,1.76,0.0851,0.8695,1.0329,5.38
99,Night,0,Practice,Unexpected,Red,Left,6.93,1.86,0.0840,0.8693,1.2900,6.03
99,Night,0,Practice,Unexpected,Red,Left,7.03,1.96,0.0769,0.8693,1.5772,6.69
99,Night,0,Practice,Unexpected,Red,Left,7.13,2.07,0.0694,0.8696,1.8961,7.35
99,Night,0,Practice,Unexpected,Red,Left,7.24,2.17,0.0619,0.8702,2.2427,8.04
99,Night,0,Practice,Unexpected,Red,Left,7.34,2.28,0.0459,0.8699,2.6976,8.82
99,Night,0,Practice,Unexpected,Red,Left,7.44,2.38,0.0157,0.8698,3.1053,9.43
99,Night,0,Practice,Unexpected,Red,Left,7.55,2.48,-0.0326,0.8688,3.5390,10.07
99,Night,0,Practice,Unexpected,Red,Left,7.65,2.58,-0.0644,0.8683,4.0075,10.68
99,Night,0,Practice,Unexpected,Red,Left,7.75,2.68,-0.0881,0.8694,4.4978,11.28
99,Night,0,Practice,Unexpected,Red,Left,7.86,2.79,-0.0814,0.8691,5.0158,11.87
99,Night,0,Practice,Unexpected,Red,Left,7.96,2.89,-0.0426,0.8682,5.5584,12.48
99,Night,0,Practice,Unexpected,Red,Left,8.06,2.99,0.0190,0.8681,6.1258,13.00
99,Night,0,Practice,Unexpected,Red,Left,8.16,3.09,0.1431,0.8669,6.8387,13.84
99,Night,0,Practice,Unexpected,Red,Left,8.26,3.20,0.2773,0.8680,7.4569,14.42
99,Night,0,Practice,Unexpected,Red,Left,8.37,3.30,0.4448,0.8672,8.0960,15.10
99,Night,0,Practice,Unexpected,Red,Left,8.47,3.40,0.6185,0.8682,8.7674,15.70
99,Night,0,Practice,Unexpected,Red,Left,8.58,3.51,0.7847,0.8725,9.4666,16.23
99,Night,0,Practice,Unexpected,Red,Left,8.68,3.61,0.9498,0.8672,10.3339,16.89
99,Night,0,Practice,Unexpected,Red,Left,8.78,3.72,1.0584,0.8668,11.0869,17.29
99,Night,0,Practice,Unexpected,Red,Left,8.89,3.82,1.1237,0.8668,11.8697,17.76
99,Night,0,Practice,Unexpected,Red,Left,8.99,3.92,1.1463,0.8688,12.6819,18.46
99,Night,0,Practice,Unexpected,Red,Left,9.09,4.02,1.1306,0.8667,13.5175,18.89
99,Night,0,Practice,Unexpected,Red,Left,9.20,4.13,1.0714,0.8691,14.3805,19.49
99,Night,0,Practice,Unexpected,Red,Left,9.30,4.23,1.0065,0.8685,15.4678,20.50
99,Night,0,Practice,Unexpected,Red,Left,9.41,4.34,0.9649,0.8714,16.3949,20.99
99,Night,0,Practice,Unexpected,Red,Left,9.51,4.44,0.9610,0.8687,17.3415,21.50
99,Night,0,Practice,Unexpected,Red,Left,9.61,4.55,0.9910,0.8688,18.3103,21.88
99,Night,0,Practice,Unexpected,Red,Left,9.72,4.65,1.0668,0.8692,19.2958,22.43
99,Night,0,Practice,Unexpected,Red,Left,9.82,4.75,1.1756,0.8676,20.3044,22.89
