ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,0.35,0.35,0.0022,0.8588,-0.0074,0.35
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,0.46,0.46,0.0034,0.8693,-0.0089,0.18
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,0.56,0.56,0.0039,0.8733,-0.0079,0.08
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,0.66,0.66,0.0036,0.8723,-0.0054,0.10
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,0.76,0.76,0.0030,0.8699,-0.0026,0.11
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,0.86,0.86,0.0022,0.8680,0.0075,0.29
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,0.96,0.96,0.0015,0.8677,0.0338,0.70
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,1.07,1.07,0.0009,0.8688,0.0850,1.29
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,1.17,1.17,0.0000,0.8696,0.1609,1.98
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,1.28,1.28,0.0005,0.8699,0.2671,2.64
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,1.38,1.38,-0.0004,0.8699,0.4032,3.31
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,1.48,1.48,-0.0001,0.8700,0.6061,4.11
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,1.58,1.58,0.0006,0.8702,0.8082,4.79
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,1.69,1.69,0.0005,0.8699,1.0403,5.45
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,1.79,1.79,0.0006,0.8701,1.3023,6.14
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,1.89,1.89,0.0007,0.8703,1.5939,6.79
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.00,2.00,0.0008,0.8700,1.9162,7.46
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.10,2.10,0.0009,0.8703,2.2678,8.15
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.20,2.20,0.0010,0.8703,2.7293,8.94
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.30,2.30,0.0009,0.8703,3.1468,9.61
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.40,2.40,0.0007,0.8703,3.5947,10.28
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.51,2.51,0.0008,0.8697,4.0723,10.95
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.61,2.61,0.0005,0.8708,4.5790,11.56
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.72,2.72,0.0004,0.8713,5.1176,12.30
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.82,2.82,0.0003,0.8702,5.8020,13.10
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,2.92,2.92,0.0002,0.8717,6.4061,13.77
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.03,3.03,0.0002,0.8694,7.0385,14.44
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.13,3.13,0.0001,0.8719,7.7014,15.04
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.24,3.24,0.0000,0.8728,8.5378,15.91
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.35,3.35,-0.0001,0.8705,9.2658,16.57
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.45,3.45,-0.0003,0.8700,10.0246,17.25
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.56,3.56,-0.0003,0.8722,10.8136,17.91
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.66,3.66,-0.0004,0.8714,11.7985,18.71
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.77,3.77,-0.0004,0.8706,12.6521,19.38
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.87,3.87,-0.0007,0.8707,13.5360,19.97
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,3.97,3.97,-0.0008,0.8715,14.4500,20.71
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,4.08,4.08,-0.0011,0.8705,15.3928,21.38
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,4.18,4.18,-0.0013,0.8708,16.3661,21.97
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,4.28,4.28,-0.0016,0.8724,17.5737,22.84
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,4.39,4.39,-0.0017,0.8709,18.6117,23.51
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,4.49,4.49,-0.0020,0.8706,19.6797,24.17
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,4.59,4.59,-0.0022,0.8729,20.7785,24.84
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,4.69,4.69,-0.0051,0.8714,21.9056,25.50
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,4.80,4.80,-0.0263,0.8697,23.0589,26.08
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,4.90,4.90,-0.0727,0.8699,24.2395,26.72
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.00,5.00,-0.1408,0.8705,25.6987,27.55
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.11,5.11,-0.2244,0.8693,26.9397,28.06
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.21,5.21,-0.3270,0.8694,28.2058,28.58
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.32,5.32,-0.4426,0.8695,29.4839,28.81
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.42,5.42,-0.5861,0.8677,30.7610,28.81
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.52,5.52,-0.7649,0.8675,32.0316,28.64
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.62,5.62,-0.9944,0.8680,33.2847,28.43
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.72,5.72,-1.3471,0.8777,34.7577,28.13
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.83,5.83,-1.6902,0.8784,35.9583,27.86
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,5.93,5.93,-1.5986,0.9778,36.6533,11.78
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.04,6.04,-1.4460,1.0872,37.1141,10.84
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.14,6.14,-1.2610,1.1509,37.6035,10.08
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.24,6.24,-1.1008,1.1350,37.9700,9.58
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.34,6.34,-0.9317,1.0582,38.3006,9.33
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.45,6.45,-0.7535,0.9661,38.6262,8.27
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.55,6.55,-0.5817,0.9005,38.9743,7.40
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.65,6.65,-0.4794,0.8520,39.2492,5.11
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.75,6.75,-0.4327,0.8753,39.4143,3.74
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.85,6.85,-0.4113,0.8817,39.5521,2.95
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,6.95,6.95,-0.4110,0.8656,39.6733,2.36
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.05,7.05,-0.4342,0.8640,39.7515,1.64
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.16,7.16,-0.4794,0.8674,39.8094,1.79
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.26,7.26,-0.5559,0.8681,39.8773,2.45
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.36,7.36,-0.6591,0.8694,39.9617,3.13
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.46,7.46,-0.7833,0.8697,40.0593,3.78
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.56,7.56,-0.9571,0.8700,40.2077,4.58
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.67,7.67,-1.1229,0.8697,40.3569,5.25
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.77,7.77,-1.3073,0.8699,40.5290,5.90
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.87,7.87,-1.5091,0.8700,40.7262,6.57
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,7.97,7.97,-1.7274,0.8700,40.9476,7.22
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,8.08,8.08,-1.9607,0.8697,41.1960,7.89
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,8.18,8.18,-2.2585,0.8695,41.5295,8.68
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,8.28,8.28,-2.5209,0.8755,41.8392,9.31
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,8.39,8.39,-2.7885,0.8676,42.1752,9.96
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,8.49,8.49,-3.0668,0.8683,42.5446,10.63
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,8.59,8.59,-3.3499,0.8687,42.9464,11.26
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,8.70,8.70,-3.6340,0.8685,43.3810,11.85
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,8.80,8.80,-3.9170,0.8682,43.8518,12.54
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,8.90,8.90,-4.2525,0.8684,44.4628,13.30
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.01,9.01,-4.5225,0.8681,45.0121,13.98
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.11,9.11,-4.7832,0.8684,45.5947,14.55
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.21,9.21,-5.0291,0.8672,46.2146,15.17
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.31,9.31,-5.2537,0.8672,46.8724,15.84
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.42,9.42,-5.4551,0.8671,47.5662,16.39
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.52,9.52,-5.6592,0.8694,48.4465,17.13
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.62,9.62,-5.7983,0.8682,49.2147,17.70
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.73,9.73,-5.9014,0.8678,50.0159,18.37
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.83,9.83,-5.9747,0.8672,50.8502,19.06
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,9.93,9.93,-6.0294,0.8675,51.7184,19.67
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.04,10.04,-6.0767,0.8693,52.6217,20.42
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.14,10.14,-6.1206,0.8695,53.5542,21.09
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.24,10.24,-6.1810,0.8718,54.7077,21.87
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.35,10.35,-6.2495,0.8691,55.6961,22.47
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.45,10.45,-6.3196,0.8693,56.7201,23.17
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.56,10.56,-6.3810,0.8721,57.7708,23.76
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.66,10.66,-6.4139,0.8693,58.8421,24.34
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.76,10.76,-6.4040,0.8705,60.1552,24.73
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.87,10.87,-6.3465,0.8689,61.2631,24.95
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,10.97,10.97,-6.2311,0.8705,62.3756,25.08
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,11.08,11.08,-6.0636,0.8698,63.4848,25.28
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,11.18,11.18,-5.8542,0.8665,64.5937,25.27
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,11.28,11.28,-5.5958,0.8681,65.6909,25.20
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,11.38,11.38,-5.2138,0.8759,66.9778,24.93
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,11.49,11.49,-4.8464,0.8735,68.0216,24.70
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,11.59,11.59,-4.4312,0.8683,69.0375,24.48
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,11.69,11.69,-3.9814,0.8666,70.0336,24.45
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,11.80,11.80,-3.5299,0.8644,71.0259,24.38
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,11.90,11.90,-3.0201,0.8653,72.2246,24.21
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.00,12.00,-2.6211,0.8740,73.2264,24.05
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.11,12.11,-2.2493,0.8667,74.2323,23.91
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.21,12.21,-1.9136,0.8662,75.2395,23.66
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.31,12.31,-1.6010,0.8679,76.2435,23.49
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.41,12.41,-1.3010,0.8681,77.2478,23.41
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.51,12.51,-1.0154,0.8664,78.2463,23.13
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.62,12.62,-0.7432,0.8668,79.2289,22.67
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.72,12.72,-0.4059,0.8654,80.3752,22.16
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.82,12.82,-0.1238,0.8626,81.3232,21.96
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,12.93,12.93,0.1508,0.8615,82.2674,21.93
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.03,13.03,0.4063,0.8642,83.2143,21.88
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.14,13.14,0.6414,0.8699,84.1622,21.77
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.24,13.24,0.8768,0.8686,85.2985,21.57
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.34,13.34,1.0187,0.8680,86.2469,21.41
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.45,13.45,1.1127,0.8696,87.1899,21.10
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.55,13.55,1.1642,0.8680,88.1199,20.62
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.65,13.65,1.1883,0.8679,89.0258,20.00
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.75,13.75,1.1714,0.8680,89.9035,19.38
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.86,13.86,1.1532,0.8631,90.7429,18.57
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,13.96,13.96,1.1439,0.8673,91.7147,17.92
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.07,14.07,1.1482,0.8617,92.5108,17.58
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.17,14.17,1.1506,0.8604,93.2968,17.53
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.27,14.27,1.1453,0.8635,94.0822,17.52
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.37,14.37,1.1230,0.8668,94.8650,17.48
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.48,14.48,1.0832,0.8684,95.6435,17.40
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.58,14.58,0.9867,0.8677,96.5648,17.21
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.68,14.68,0.8603,0.8679,97.3198,17.10
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.78,14.78,0.7057,0.8660,98.0670,17.09
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.89,14.89,0.5333,0.8671,98.8117,17.10
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,14.99,14.99,0.3630,0.8680,99.5570,17.10
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,15.10,15.10,0.2051,0.8684,100.3039,17.07
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,15.20,15.20,0.0695,0.8685,101.0519,16.98
NA,NA,-1,Unknown,Unknown,Unknown,Unknown,15.30,15.30,-0.0503,0.8685,101.7980,16.84
