ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
,Day,0,Practice,Unexpected,Amber,Left,1.71,0.00,0.0000,1.0608,-0.0025,1.76
,Day,0,Practice,Unexpected,Amber,Left,1.81,0.10,0.0000,0.9234,-0.0025,3.95
,Day,0,Practice,Unexpected,Amber,Left,1.92,0.21,0.0005,0.8465,-0.0037,0.46
,Day,0,Practice,Unexpected,Amber,Left,2.02,0.31,0.0028,0.8638,-0.0084,0.28
,Day,0,Practice,Unexpected,Amber,Left,2.13,0.42,0.0037,0.8716,-0.0086,0.12
,Day,0,Practice,Unexpected,Amber,Left,2.23,0.52,0.0038,0.8735,-0.0052,0.18
,Day,0,Practice,Unexpected,Amber,Left,2.33,0.63,0.0035,0.8725,0.0141,0.58
,Day,0,Practice,Unexpected,Amber,Left,2.44,0.73,0.0032,0.8707,0.0567,1.11
,Day,0,Practice,Unexpected,Amber,Left,2.55,0.84,0.0019,0.8697,0.1435,1.94
,Day,0,Practice,Unexpected,Amber,Left,2.65,0.94,0.0030,0.8697,0.2477,2.60
,Day,0,Practice,Unexpected,Amber,Left,2.76,1.05,0.0113,0.8698,0.3817,3.26
,Day,0,Practice,Unexpected,Amber,Left,2.86,1.15,0.0280,0.8698,0.5433,3.90
,Day,0,Practice,Unexpected,Amber,Left,2.96,1.26,0.0610,0.8697,0.7749,4.69
,Day,0,Practice,Unexpected,Amber,Left,3.07,1.36,0.0982,0.8698,0.9999,5.37
,Day,0,Practice,Unexpected,Amber,Left,3.17,1.46,0.1397,0.8698,1.2546,6.03
,Day,0,Practice,Unexpected,Amber,Left,3.28,1.57,0.1810,0.8702,1.5395,6.72
,Day,0,Practice,Unexpected,Amber,Left,3.38,1.67,0.2249,0.8700,1.9225,7.52
,Day,0,Practice,Unexpected,Amber,Left,3.48,1.78,0.2584,0.8700,2.2748,8.19
,Day,0,Practice,Unexpected,Amber,Left,3.59,1.88,0.2931,0.8701,2.6566,8.85
,Day,0,Practice,Unexpected,Amber,Left,3.69,1.98,0.3366,0.8699,3.0672,9.49
,Day,0,Practice,Unexpected,Amber,Left,3.79,2.08,0.3993,0.8696,3.5035,10.14
,Day,0,Practice,Unexpected,Amber,Left,3.89,2.19,0.4736,0.8691,3.9684,10.81
,Day,0,Practice,Unexpected,Amber,Left,4.00,2.29,0.5508,0.8715,4.4661,11.47
,Day,0,Practice,Unexpected,Amber,Left,4.10,2.39,0.6328,0.8685,4.9898,12.18
,Day,0,Practice,Unexpected,Amber,Left,4.20,2.49,0.7410,0.8718,5.6584,12.98
,Day,0,Practice,Unexpected,Amber,Left,4.30,2.59,0.8383,0.8695,6.2467,13.63
,Day,0,Practice,Unexpected,Amber,Left,4.40,2.70,0.9395,0.8710,6.8661,14.25
,Day,0,Practice,Unexpected,Amber,Left,4.51,2.80,1.0476,0.8709,7.5140,14.96
,Day,0,Practice,Unexpected,Amber,Left,4.62,2.91,1.1603,0.8695,8.1903,15.63
,Day,0,Practice,Unexpected,Amber,Left,4.72,3.01,1.2762,0.8714,8.8977,16.26
,Day,0,Practice,Unexpected,Amber,Left,4.82,3.11,1.3954,0.8731,9.6332,16.97
,Day,0,Practice,Unexpected,Amber,Left,4.92,3.21,1.5204,0.8686,10.3970,17.55
,Day,0,Practice,Unexpected,Amber,Left,5.02,3.31,1.6986,0.8699,11.3498,18.41
,Day,0,Practice,Unexpected,Amber,Left,5.12,3.41,1.8521,0.8705,12.1786,19.07
,Day,0,Practice,Unexpected,Amber,Left,5.22,3.51,2.0139,0.8720,13.0271,19.56
