ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
,Night,0,Practice,Unexpected,Amber,Right,5.96,0.00,0.0000,1.0765,-0.0025,1.32
,Night,0,Practice,Unexpected,Amber,Right,6.06,0.10,0.0000,0.9587,-0.0025,3.51
,Night,0,Practice,Unexpected,Amber,Right,6.16,0.20,0.0005,0.8465,-0.0037,0.46
,Night,0,Practice,Unexpected,Amber,Right,6.26,0.30,0.0025,0.8614,-0.0080,0.32
,Night,0,Practice,Unexpected,Amber,Right,6.36,0.40,0.0036,0.8706,-0.0089,0.15
,Night,0,Practice,Unexpected,Amber,Right,6.47,0.51,0.0039,0.8735,-0.0076,0.08
,Night,0,Practice,Unexpected,Amber,Right,6.57,0.61,0.0036,0.8723,-0.0054,0.10
,Night,0,Practice,Unexpected,Amber,Right,6.67,0.71,0.0029,0.8699,-0.0034,0.10
,Night,0,Practice,Unexpected,Amber,Right,6.77,0.81,0.0022,0.8677,-0.0019,0.07
,Night,0,Practice,Unexpected,Amber,Right,6.87,0.91,0.0015,0.8666,-0.0013,0.03
,Night,0,Practice,Unexpected,Amber,Right,6.98,1.02,0.0009,0.8663,-0.0012,0.02
,Night,0,Practice,Unexpected,Amber,Right,7.08,1.12,0.0006,0.8666,-0.0015,0.02
,Night,0,Practice,Unexpected,Amber,Right,7.18,1.22,0.0005,0.8670,-0.0020,0.02
,Night,0,Practice,Unexpected,Amber,Right,7.28,1.33,0.0005,0.8674,-0.0024,0.01
,Night,0,Practice,Unexpected,Amber,Right,7.39,1.43,0.0007,0.8676,-0.0026,0.01
,Night,0,Practice,Unexpected,Amber,Right,7.49,1.53,0.0009,0.8676,-0.0027,0.01
,Night,0,Practice,Unexpected,Amber,Right,7.59,1.64,0.0011,0.8676,-0.0008,0.03
,Night,0,Practice,Unexpected,Amber,Right,7.70,1.74,0.0012,0.8678,0.0085,0.29
,Night,0,Practice,Unexpected,Amber,Right,7.80,1.84,0.0013,0.8686,0.0363,0.75
,Night,0,Practice,Unexpected,Amber,Right,7.90,1.94,0.0015,0.8703,0.0888,1.33
,Night,0,Practice,Unexpected,Amber,Right,8.00,2.04,0.0033,0.8700,0.1874,2.17
,Night,0,Practice,Unexpected,Amber,Right,8.10,2.14,0.0096,0.8700,0.3024,2.84
,Night,0,Practice,Unexpected,Amber,Right,8.20,2.25,0.0189,0.8699,0.4467,3.51
,Night,0,Practice,Unexpected,Amber,Right,8.31,2.35,0.0268,0.8701,0.6217,4.18
,Night,0,Practice,Unexpected,Amber,Right,8.41,2.45,0.0326,0.8695,0.8265,4.85
,Night,0,Practice,Unexpected,Amber,Right,8.51,2.55,0.0428,0.8699,1.0604,5.51
,Night,0,Practice,Unexpected,Amber,Right,8.61,2.65,0.0538,0.8701,1.3244,6.17
,Night,0,Practice,Unexpected,Amber,Right,8.72,2.76,0.0565,0.8701,1.6181,6.84
,Night,0,Practice,Unexpected,Amber,Right,8.82,2.86,0.0627,0.8698,1.9406,7.48
,Night,0,Practice,Unexpected,Amber,Right,8.92,2.96,0.0833,0.8699,2.2917,8.13
,Night,0,Practice,Unexpected,Amber,Right,9.02,3.06,0.1324,0.8688,2.7460,8.87
,Night,0,Practice,Unexpected,Amber,Right,9.12,3.16,0.1860,0.8683,3.1542,9.50
,Night,0,Practice,Unexpected,Amber,Right,9.23,3.27,0.2265,0.8700,3.5953,10.09
,Night,0,Practice,Unexpected,Amber,Right,9.33,3.37,0.2511,0.8687,4.0601,10.71
,Night,0,Practice,Unexpected,Amber,Right,9.43,3.48,0.2575,0.8680,4.5535,11.37
,Night,0,Practice,Unexpected,Amber,Right,9.54,3.58,0.2786,0.8686,5.0817,11.97
,Night,0,Practice,Unexpected,Amber,Right,9.64,3.68,0.3098,0.8727,5.6316,12.57
,Night,0,Practice,Unexpected,Amber,Right,9.74,3.78,0.3471,0.8695,6.3322,13.40
,Night,0,Practice,Unexpected,Amber,Right,9.85,3.89,0.3656,0.8709,6.9462,13.99
,Night,0,Practice,Unexpected,Amber,Right,9.95,3.99,0.3913,0.8699,7.5928,14.69
,Night,0,Practice,Unexpected,Amber,Right,10.06,4.10,0.4298,0.8698,8.2641,15.31
,Night,0,Practice,Unexpected,Amber,Right,10.16,4.20,0.4664,0.8722,9.1121,16.12
,Night,0,Practice,Unexpected,Amber,Right,10.27,4.31,0.4935,0.8711,9.8488,16.78
,Night,0,Practice,Unexpected,Amber,Right,10.37,4.41,0.5255,0.8704,10.6140,17.32
,Night,0,Practice,Unexpected,Amber,Right,10.48,4.52,0.5584,0.8712,11.3974,17.68
