ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,Expectancy,SignalColor,MergeSide,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyResponse,SurveyRT
UNKNOWN,0,3.307,0.057,-1,SubBlock,Practice,Expected,Red,Left,3.364,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,0.165,-1,SubBlock,Practice,Expected,Red,Left,3.472,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.341,-1,SubBlock,Practice,Expected,Red,Left,4.649,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.377,-1,SubBlock,Practice,Expected,Red,Left,4.685,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.397,-1,SubBlock,Practice,Expected,Red,Left,4.704,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.438,-1,SubBlock,Practice,Expected,Red,Left,4.745,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.442,-1,SubBlock,Practice,Expected,Red,Left,4.749,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.444,-1,SubBlock,Practice,Expected,Red,Left,4.751,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.447,-1,SubBlock,Practice,Expected,Red,Left,4.754,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.45,-1,SubBlock,Practice,Expected,Red,Left,4.758,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.453,-1,SubBlock,Practice,Expected,Red,Left,4.761,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.456,-1,SubBlock,Practice,Expected,Red,Left,4.763,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.458,-1,SubBlock,Practice,Expected,Red,Left,4.765,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.461,-1,SubBlock,Practice,Expected,Red,Left,4.768,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.464,-1,SubBlock,Practice,Expected,Red,Left,4.771,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.466,-1,SubBlock,Practice,Expected,Red,Left,4.773,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.469,-1,SubBlock,Practice,Expected,Red,Left,4.776,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.471,-1,SubBlock,Practice,Expected,Red,Left,4.779,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.474,-1,SubBlock,Practice,Expected,Red,Left,4.781,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.476,-1,SubBlock,Practice,Expected,Red,Left,4.784,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.48,-1,SubBlock,Practice,Expected,Red,Left,4.787,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.483,-1,SubBlock,Practice,Expected,Red,Left,4.791,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.486,-1,SubBlock,Practice,Expected,Red,Left,4.793,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.489,-1,SubBlock,Practice,Expected,Red,Left,4.796,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.491,-1,SubBlock,Practice,Expected,Red,Left,4.798,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.493,-1,SubBlock,Practice,Expected,Red,Left,4.801,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.496,-1,SubBlock,Practice,Expected,Red,Left,4.803,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.498,-1,SubBlock,Practice,Expected,Red,Left,4.805,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.501,-1,SubBlock,Practice,Expected,Red,Left,4.808,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.503,-1,SubBlock,Practice,Expected,Red,Left,4.81,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.506,-1,SubBlock,Practice,Expected,Red,Left,4.813,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.509,-1,SubBlock,Practice,Expected,Red,Left,4.816,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.511,-1,SubBlock,Practice,Expected,Red,Left,4.818,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.515,-1,SubBlock,Practice,Expected,Red,Left,4.822,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.518,-1,SubBlock,Practice,Expected,Red,Left,4.825,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.521,-1,SubBlock,Practice,Expected,Red,Left,4.828,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.523,-1,SubBlock,Practice,Expected,Red,Left,4.831,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.527,-1,SubBlock,Practice,Expected,Red,Left,4.834,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.53,-1,SubBlock,Practice,Expected,Red,Left,4.837,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.533,-1,SubBlock,Practice,Expected,Red,Left,4.84,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.537,-1,SubBlock,Practice,Expected,Red,Left,4.844,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.54,-1,SubBlock,Practice,Expected,Red,Left,4.847,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.543,-1,SubBlock,Practice,Expected,Red,Left,4.85,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.547,-1,SubBlock,Practice,Expected,Red,Left,4.854,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.55,-1,SubBlock,Practice,Expected,Red,Left,4.858,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.554,-1,SubBlock,Practice,Expected,Red,Left,4.861,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.557,-1,SubBlock,Practice,Expected,Red,Left,4.864,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.56,-1,SubBlock,Practice,Expected,Red,Left,4.867,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.595,-1,SubBlock,Practice,Expected,Red,Left,4.902,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.694,-1,SubBlock,Practice,Expected,Red,Left,5.001,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.795,-1,SubBlock,Practice,Expected,Red,Left,5.102,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.894,-1,SubBlock,Practice,Expected,Red,Left,5.202,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,1.999,-1,SubBlock,Practice,Expected,Red,Left,5.306,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.095,-1,SubBlock,Practice,Expected,Red,Left,5.402,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.194,-1,SubBlock,Practice,Expected,Red,Left,5.502,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.294,-1,SubBlock,Practice,Expected,Red,Left,5.601,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.394,-1,SubBlock,Practice,Expected,Red,Left,5.701,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.493,-1,SubBlock,Practice,Expected,Red,Left,5.801,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.593,-1,SubBlock,Practice,Expected,Red,Left,5.901,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.694,-1,SubBlock,Practice,Expected,Red,Left,6.001,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.795,-1,SubBlock,Practice,Expected,Red,Left,6.102,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.895,-1,SubBlock,Practice,Expected,Red,Left,6.203,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,2.993,-1,SubBlock,Practice,Expected,Red,Left,6.3,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.095,-1,SubBlock,Practice,Expected,Red,Left,6.402,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.195,-1,SubBlock,Practice,Expected,Red,Left,6.502,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.297,-1,SubBlock,Practice,Expected,Red,Left,6.604,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.4,-1,SubBlock,Practice,Expected,Red,Left,6.707,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.496,-1,SubBlock,Practice,Expected,Red,Left,6.803,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.595,-1,SubBlock,Practice,Expected,Red,Left,6.902,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.696,-1,SubBlock,Practice,Expected,Red,Left,7.003,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.796,-1,SubBlock,Practice,Expected,Red,Left,7.104,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.894,-1,SubBlock,Practice,Expected,Red,Left,7.201,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,3.994,-1,SubBlock,Practice,Expected,Red,Left,7.301,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.095,-1,SubBlock,Practice,Expected,Red,Left,7.402,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.193,-1,SubBlock,Practice,Expected,Red,Left,7.5,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.295,-1,SubBlock,Practice,Expected,Red,Left,7.602,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.394,-1,SubBlock,Practice,Expected,Red,Left,7.701,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.496,-1,SubBlock,Practice,Expected,Red,Left,7.804,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.599,-1,SubBlock,Practice,Expected,Red,Left,7.906,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.693,-1,SubBlock,Practice,Expected,Red,Left,8,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.795,-1,SubBlock,Practice,Expected,Red,Left,8.102,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.895,-1,SubBlock,Practice,Expected,Red,Left,8.202,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,4.993,-1,SubBlock,Practice,Expected,Red,Left,8.3,-1,,,,,0,0,,-1,-1,,-1
UNKNOWN,0,3.307,5.094,-1,SubBlock,Practice,Expected,Red,Left,8.402,-1,,,,,0,0,,-1,-1,,-1
