Time,Position_X,Position_Y,Position_Z
0.3533334,1.259032E-07,1.188995,-0.002499569
0.4566472,-3.81202E-07,0.7927094,-0.00225525
0.5574278,0.004091408,0.8681746,-0.01156465
0.663462,0.006996745,0.871882,-0.01274708
0.8086659,0.003742185,0.8615338,-0.000697013
0.9428893,0.001514293,0.8631418,0.04063346
1.095972,0.002319605,0.8705019,0.1322228
1.235917,0.01527112,0.8699992,0.2755347
1.360666,0.04253106,0.8697569,0.4756305
1.504026,0.07669505,0.8700631,0.7337841
1.65449,0.09939834,0.869815,1.050732
1.790179,0.1006602,0.8694278,1.425425
1.920724,0.07302496,0.868978,1.85282
2.067715,0.01459352,0.8683468,2.33464
2.218358,-0.06029742,0.8693771,2.87525
2.360537,-0.1504692,0.8700764,3.565256
2.516902,-0.203548,0.869166,4.229324
2.659159,-0.2137273,0.8695573,4.94712
2.806485,-0.1584891,0.8679916,5.828799
2.973679,-0.1015303,0.8701425,6.781554
3.255913,-0.01522347,0.8671026,8.477724
3.423828,0.02773145,0.8674367,9.570173
