Time,Position X,Position Y,Position Z
0.35,-0.10,1.19,0.00
0.46,-0.10,0.84,0.00
0.57,-0.10,0.88,0.03
0.67,-0.09,0.87,0.05
0.78,-0.09,0.86,0.13
0.89,-0.09,0.87,0.23
0.99,-0.08,0.87,0.36
1.09,-0.07,0.87,0.52
1.20,-0.03,0.87,0.75
1.31,0.00,0.87,0.97
1.42,0.05,0.87,1.22
1.53,0.12,0.87,1.56
1.63,0.19,0.87,1.87
1.73,0.27,0.87,2.21
1.83,0.34,0.87,2.58
1.94,0.42,0.87,2.98
2.05,0.50,0.87,3.51
2.15,0.58,0.87,3.98
2.26,0.67,0.87,4.58
2.37,0.76,0.87,5.11
2.48,0.86,0.87,5.80
2.58,0.95,0.87,6.39
2.68,1.05,0.87,7.03
2.78,1.16,0.87,7.68
2.89,1.26,0.87,8.37
