Time,PositionX,PositionY,PositionZ
0.35,0.00,1.19,0.00
0.46,0.00,0.84,0.00
0.57,0.01,0.87,-0.01
0.68,0.01,0.87,-0.01
0.79,0.00,0.86,-0.01
0.89,0.00,0.86,0.00
0.99,0.00,0.86,0.00
1.10,0.00,0.86,0.00
1.20,0.00,0.87,0.00
1.31,0.00,0.87,0.00
1.42,0.00,0.87,0.00
1.52,0.00,0.87,0.00
1.62,0.00,0.87,0.00
1.73,0.00,0.87,0.00
1.84,0.00,0.87,0.00
1.94,0.00,0.87,0.02
2.05,0.00,0.87,0.06
2.15,-0.01,0.87,0.12
2.26,-0.03,0.87,0.21
2.36,-0.04,0.87,0.33
2.46,-0.07,0.87,0.52
2.56,-0.11,0.87,0.70
2.67,-0.15,0.87,0.92
2.77,-0.20,0.87,1.16
2.88,-0.26,0.87,1.43
2.98,-0.33,0.87,1.72
3.08,-0.42,0.87,2.05
3.19,-0.55,0.87,2.47
3.30,-0.70,0.87,2.93
3.42,-0.85,0.87,3.33
3.53,-1.06,0.87,3.85
3.63,-1.26,0.87,4.29
3.74,-1.47,0.87,4.73
3.84,-1.73,0.87,5.23
3.95,-1.94,0.87,5.63
4.06,-2.13,0.86,6.00
4.16,-2.30,0.86,6.35
4.27,-2.46,0.87,6.75
4.38,-2.57,0.87,7.06
4.49,-2.66,0.86,7.39
4.59,-2.72,0.86,7.64
4.69,-2.77,0.86,7.86
4.80,-2.80,0.86,8.05
4.91,-2.84,0.86,8.23
5.02,-2.86,0.86,8.35
5.13,-2.87,0.86,8.46
5.23,-2.88,0.86,8.51
5.33,-2.88,0.86,8.54
5.44,-2.88,0.86,8.53
5.54,-2.87,0.86,8.49
5.66,-2.86,0.86,8.41
5.76,-2.84,0.86,8.31
5.86,-2.80,0.86,8.16
5.97,-2.75,0.86,8.00
6.08,-2.66,0.86,7.78
6.19,-2.57,0.86,7.57
6.30,-2.46,0.86,7.33
6.40,-2.35,0.86,7.07
6.50,-2.20,0.86,6.71
6.60,-2.08,0.86,6.38
6.72,-1.95,0.86,6.02
6.83,-1.79,0.86,5.55
6.94,-1.67,0.86,5.12
7.05,-1.52,0.86,4.56
7.15,-1.41,0.87,4.06
7.25,-1.31,0.87,3.53
7.36,-1.21,0.87,2.85
7.46,-1.15,0.87,2.26
7.57,-1.11,0.87,1.63
7.67,-1.09,0.87,0.97
7.78,-1.10,0.87,0.14
7.88,-1.15,0.87,-0.58
7.98,-1.22,0.87,-1.31
8.09,-1.34,0.87,-2.06
8.20,-1.52,0.87,-2.83
8.30,-1.79,0.87,-3.74
8.40,-2.09,0.87,-4.50
8.51,-2.44,0.87,-5.24
8.62,-2.92,0.87,-6.12
8.73,-3.38,0.87,-6.83
8.83,-3.88,0.87,-7.56
8.93,-4.41,0.87,-8.32
9.03,-4.93,0.87,-9.10
9.14,-5.44,0.87,-9.93
9.24,-5.92,0.87,-10.82
9.34,-6.46,0.87,-11.92
9.44,-6.85,0.87,-12.89
9.56,-7.17,0.87,-13.89
9.67,-7.49,0.87,-15.12
9.77,-7.68,0.87,-16.16
9.88,-7.80,0.87,-17.21
9.99,-7.86,0.87,-18.47
10.10,-7.83,0.87,-19.51
10.20,-7.73,0.87,-20.74
10.31,-7.57,0.87,-21.74
10.42,-7.35,0.87,-22.71
10.52,-7.03,0.87,-23.81
10.63,-6.71,0.87,-24.68
10.73,-6.37,0.87,-25.49
10.83,-6.00,0.87,-26.23
10.94,-5.63,0.87,-26.92
11.04,-5.20,0.87,-27.65
11.15,-4.87,0.87,-28.20
11.27,-4.49,0.87,-28.78
11.38,-4.20,0.87,-29.20
11.48,-3.90,0.87,-29.64
11.58,-3.69,0.87,-29.97
11.69,-3.52,0.87,-30.26
11.80,-3.39,0.87,-30.59
11.91,-3.31,0.87,-30.84
12.01,-3.23,0.87,-31.06
